,season,round,race_name,driver_id,driver_name,grid,position,points
112,2026,6,Monaco Grand Prix,gasly,Pierre Gasly,9,3,15
113,2026,6,Monaco Grand Prix,hadjar,Isack Hadjar,5,4,12
114,2026,6,Monaco Grand Prix,piastri,Oscar Piastri,7,5,10
115,2026,6,Monaco Grand Prix,lawson,Liam Lawson,10,6,8
116,2026,6,Monaco Grand Prix,arvid_lindblad,Arvid Lindblad,15,7,6
117,2026,6,Monaco Grand Prix,albon,Alexander Albon,11,8,4
118,2026,6,Monaco Grand Prix,ocon,Esteban Ocon,17,9,2
119,2026,6,Monaco Grand Prix,alonso,Fernando Alonso,21,10,1
120,2026,6,Monaco Grand Prix,bortoleto,Gabriel Bortoleto,16,11,0
121,2026,6,Monaco Grand Prix,russell,George Russell,6,12,0
122,2026,6,Monaco Grand Prix,hulkenberg,Nico Hülkenberg,13,13,0
123,2026,6,Monaco Grand Prix,colapinto,Franco Colapinto,14,14,0
124,2026,6,Monaco Grand Prix,perez,Sergio Pérez,18,15,0
125,2026,6,Monaco Grand Prix,sainz,Carlos Sainz,12,16,0
126,2026,6,Monaco Grand Prix,leclerc,Charles Leclerc,4,17,0
127,2026,6,Monaco Grand Prix,stroll,Lance Stroll,22,18,0
128,2026,6,Monaco Grand Prix,norris,Lando Norris,8,19,0
129,2026,6,Monaco Grand Prix,bearman,Oliver Bearman,19,20,0
130,2026,6,Monaco Grand Prix,bottas,Valtteri Bottas,20,21,0
131,2026,6,Monaco Grand Prix,max_verstappen,Max Verstappen,2,22,0
132,2026,7,Barcelona Grand Prix,hamilton,Lewis Hamilton,2,1,25
133,2026,7,Barcelona Grand Prix,russell,George Russell,1,2,18
134,2026,7,Barcelona Grand Prix,norris,Lando Norris,4,3,15
135,2026,7,Barcelona Grand Prix,max_verstappen,Max Verstappen,5,4,12
136,2026,7,Barcelona Grand Prix,piastri,Oscar Piastri,7,5,10
137,2026,7,Barcelona Grand Prix,hadjar,Isack Hadjar,6,6,8
138,2026,7,Barcelona Grand Prix,gasly,Pierre Gasly,14,7,6
139,2026,7,Barcelona Grand Prix,lawson,Liam Lawson,8,8,4
140,2026,7,Barcelona Grand Prix,arvid_lindblad,Arvid Lindblad,11,9,2
141,2026,7,Barcelona Grand Prix,colapinto,Franco Colapinto,13,10,1
